Row ID,Site ID,Location,Road Name,Enforced Speed Limit,Month End Date,Deployment Hours,1-5 Over Speed Limit,6-10 Over Speed Limit,11-15 Over Speed Limit,16-20 Over Speed Limit,21-50 Over Speed Limit,51+ Over Speed Limit,Total Speeding Tickets,Latitude,Longitude
2020-02-29-4240-30,4240,EB 140 Ave btwn 93 - 88A St,EB 140 Ave Btwn 93 - 88 A St,30,2/29/2020 0:00,3.3333,0,2,0,0,0,0,2,53.602842,-113.480159
2020-02-29-2701-50,2701,EB 112 Ave btwn 55 - 53 St,EB 112 Ave btwn 55 - 53 St,50,2/29/2020 0:00,42.3989,0,26,52,7,1,0,86,53.56726,-113.424605
2019-10-31-7219-50,7219,SB 104 St btwn University Ave - 73 Ave,SB 104 St Btwn University Ave - 73 Ave,50,10/31/2019 0:00,2.5,0,0,3,7,4,0,14,53.510467,-113.49767
2019-10-31-7126-100,7126,EB Anthony Henday Dr at Whitemud Creek,Anthony Henday Dr EB at Whitemud Creek,100,10/31/2019 0:00,6,0,0,11,10,2,0,23,53.428462,-113.562714
2019-10-31-7216-90,7216,NB Gateway Blvd at Ellerslie Road SW,NB Gateway Blvd at Ellerslie Road SW,90,10/31/2019 0:00,41.45,0,0,97,281,117,0,495,53.42314,-113.492832
2019-10-31-7196-100,7196,WB Anthony Henday Dr between 18 - 66 St,WB Anthony Henday Dr between 18 - 66 St,100,10/31/2019 0:00,47.4167,0,0,132,244,94,1,471,53.637553,-113.402328
2019-10-31-7223-50,7223,NB Wayne Gretzky Dr btwn Capilano Bridge - 112 Ave,NB Wayne Gretsky Dr btwn 106 - 112 Ave,50,10/31/2019 0:00,33.0833,0,311,622,165,64,0,1162,53.557424,-113.439683
2019-10-31-7168-60,7168,SB 170 St between 118 - 114 Ave,170 St SB between 118 - 114 Ave,60,10/31/2019 0:00,32,0,0,337,44,12,1,394,53.566532,-113.615421
2020-02-29-2615-50,2615,NB 113A St between 134 - 136 Ave,113A St NB between 134 - 136 Ave,50,2/29/2020 0:00,49.1667,0,15,38,7,1,0,61,53.596681,-113.516562
2020-02-29-2688-60,2688,WB 90 Ave between 57 - 58 St,90 Ave WB between 57 - 58 St,60,2/29/2020 0:00,7,0,0,5,0,0,0,5,53.523454,-113.423849
2020-02-29-2620-50,2620,SB 50 St between Fulton Rd - 101A Ave,50 St SB between Fulton Rd - 101A Ave,50,2/29/2020 0:00,39.5167,0,12,15,3,0,0,30,53.544963,-113.418689
2020-02-29-2724-50,2724,SB 95 St between 114 - 112 Ave,SB 95 St between 114 - 112 Ave,50,2/29/2020 0:00,23.35,0,5,6,3,0,0,14,53.562656,-113.48715
2019-12-31-7196-100,7196,WB Anthony Henday Dr between 18 - 66 St,WB Anthony Henday Dr between 18 - 66 St,100,12/31/2019 0:00,45.9825,0,0,58,110,41,0,209,53.637554,-113.402328
2019-12-31-7064-50,7064,SB Groat Rd btwn S of 107 Ave-Victoria Pk Rd,SB Groat Rd btwn S of 107 Ave-Victoria Pk Rd,50,12/31/2019 0:00,18.75,0,16,11,4,0,0,31,53.545605,-113.542787
2020-02-29-2530-50,2530,WB 144 Ave between 77 - 79 St,144 Ave WB between 77 - 79 St,50,2/29/2020 0:00,15.0833,0,4,4,0,0,0,8,53.606978,-113.461816
2019-10-31-2739-50,2739,NB 66 St between 132 - 134 Ave.,NB 66 St between 132 - 134 Ave.,50,10/31/2019 0:00,62.5833,0,61,141,28,4,0,234,53.593833,-113.44285
2019-10-31-4121-30,4121,WB 132 Ave btwn 72 - W of 76 St,WB 132 Ave btwn 72 - W of 76 St,30,10/31/2019 0:00,16.6667,0,5,14,14,10,0,43,53.592242,-113.455671
2019-10-31-4014-30,4014,EB 132 Ave btwn 88 - 86 St,EB 132 Ave btwn 88 - 86 St,30,10/31/2019 0:00,14.4833,0,10,29,10,3,0,52,53.592171,-113.474416
2019-10-31-2154-40,2154,NB Ottewell Rd between 92A - 93A Ave,NB Ottewell Rd between 92A - 93A Ave,40,10/31/2019 0:00,5,0,6,6,3,0,0,15,53.529098,-113.433467
2019-10-31-2797-50,2797,SB Meadowlark Rd between 90 - 88A Ave,SB Meadowlark Rd between 90 - 88A Ave,50,10/31/2019 0:00,53.1,0,58,108,17,3,0,186,53.522567,-113.593744
2019-10-31-4193-30,4193,EB 40 Ave btwn 119 - 115A St,EB 40 Ave Btwn 119 - 115 A St,30,10/31/2019 0:00,19.2833,0,32,84,37,19,0,172,53.476279,-113.535233
2019-10-31-4060-30,4060,EB 139 Ave btwn 34 - 30 St,EB 139 Ave btwn 34 - 30 St,30,10/31/2019 0:00,4.5833,0,1,5,1,1,0,8,53.603024,-113.390914
2019-10-31-2469-50,2469,EB 132 Ave between 123 - 121 St,132 Ave EB between 123 - 121 St,50,10/31/2019 0:00,10.3667,0,3,7,1,1,0,12,53.592167,-113.531956
2019-10-31-4083-30,4083,NB 165 St btwn 95 - N of 97 Ave,NB 165 St btwn 95 - 99 Ave,30,10/31/2019 0:00,3.4667,0,9,8,3,1,0,21,53.533804,-113.605991
2019-10-31-2494-50,2494,SB 142 St between 106 - 104 Ave,142 St SB between 106 - 104 Ave,50,10/31/2019 0:00,71.3667,0,86,167,25,8,0,286,53.547425,-113.56575
2019-10-31-2681-50,2681,EB Stony Plain Rd at 133 St,EB Stony Plain Rd at 133 St,50,10/31/2019 0:00,107.5833,0,0,468,100,29,0,597,53.546209,-113.551283
2019-10-31-4127-30,4127,NB 156 St N of 81 - 84 Ave,NB 156 St N of 81 - 84 Ave,30,10/31/2019 0:00,15.5333,0,14,46,24,20,0,104,53.516302,-113.590341
2019-10-31-4162-30,4162,EB Millwoods Rd S btwn 80 - 74 St,EB Millwoods Rd S Btwn 80-74 St,30,10/31/2019 0:00,2.4333,0,3,6,1,2,0,12,53.445559,-113.449617
2019-10-31-4231-30,4231,WB 144 Ave btwn 57 - 62 St,WB 144 Ave Btwn 57 - 62 St,30,10/31/2019 0:00,7.0833,0,10,16,8,2,0,36,53.605661,-113.433254
2019-10-31-7044-100,7044,EB Yellowhead Trail at 215 St,EB Yellowhead Tr at 215 St,100,10/31/2019 0:00,46.7833,0,0,113,288,109,0,510,53.570048,-113.689556
2019-10-31-2610-60,2610,NB 75 St between 92A - 94B Ave,75 St NB between 92A - 94B Ave,60,10/31/2019 0:00,55.25,0,0,124,17,15,0,156,53.530045,-113.44289
2019-10-31-2543-50,2543,EB 82 Ave between 89 - 87 St,82 Ave EB between 91 - 87 St,50,10/31/2019 0:00,116.7939,0,220,405,55,15,0,695,53.518027,-113.464396
2019-10-31-2589-50,2589,EB 51 Ave between 114 - 112 St,51 Ave EB between 114 - 112 St,50,10/31/2019 0:00,11.6167,0,13,17,6,1,0,37,53.488197,-113.522095
2019-10-31-2552-50,2552,SB 106 St between 48 - 45 Ave,106 St SB between 48 - 45 Ave,50,10/31/2019 0:00,18.45,0,17,49,1,0,0,67,53.484759,-113.504407
2019-10-31-2670-50,2670,EB 118 Ave between 78 St - Wayne Gretzky Dr,118 Ave EB between 78 St - Wayne Gretzky Dr,50,10/31/2019 0:00,115.7094,0,184,454,94,19,0,751,53.570284,-113.457251
2019-10-31-2506-50,2506,EB 118 Ave between 56 - 54 St,118 Ave EB between 56 - 54 St,50,10/31/2019 0:00,25.1167,0,18,28,10,0,0,56,53.570361,-113.426122
2019-10-31-7018-100,7018,NB Anthony Henday Dr. @ Yellowhead Tr,Anthony Henday Dr. NB @ Yellowhead Tr.,100,10/31/2019 0:00,40.8333,0,0,124,215,75,0,414,53.574288,-113.661228
2019-10-31-4054-30,4054,SB 106 St btwn 42 - 40 Ave,SB 106 St btwn 42 - 40 Ave,30,10/31/2019 0:00,6.2833,0,19,49,26,34,0,128,53.476549,-113.504462
2019-10-31-4098-30,4098,EB 144 Ave btwn 74 - 69 St,EB 144 Ave btwn 74 - 69 St,30,10/31/2019 0:00,5.6,0,13,31,6,5,0,55,53.605671,-113.450478
2019-10-31-7087-80,7087,SB Whitemud Dr between Fox Dr - 53 Ave,SB Whitemud Dr between Fox Dr - 53 Ave,80,10/31/2019 0:00,25,0,0,108,251,113,0,472,53.497915,-113.572118
2019-10-31-4170-30,4170,EB Hemingway Rd btwn 204 - 201 St,EB Hemmingway Rd Btwn 204 - 201 St,30,10/31/2019 0:00,8.75,0,17,24,7,6,0,54,53.487872,-113.670221
2019-10-31-7064-50,7064,SB Groat Rd btwn S of 107 Ave-Victoria Pk Rd,SB Groat Rd btwn S of 107 Ave-Victoria Pk Rd,50,10/31/2019 0:00,1,0,5,7,0,0,0,12,53.545605,-113.542787
2019-10-31-2527-50,2527,NB Riverbend Rd between 43 - 45 Ave,NB Riverbend Rd between 43 - 45 Ave,50,10/31/2019 0:00,5.3833,0,5,9,0,0,0,14,53.481785,-113.57959
2019-10-31-2618-50,2618,EB 107 Ave between 124 - 122 St,107 Ave EB between 124 - 122 St,50,10/31/2019 0:00,3.5833,0,0,1,1,0,0,2,53.550969,-113.534161
2019-10-31-2804-60,2804,EB Whitemud Dr btwn 76 - 66 St,EB Whitemud Dr between 76 - 66 St,60,10/31/2019 0:00,25.95,0,24,75,29,21,0,149,53.485009,-113.448167
2019-10-31-4153-30,4153,EB 144 Ave btwn 88A -E of 87 St,EB 144 Ave btwn 88A -E of 87 St,30,10/31/2019 0:00,14.7667,0,25,60,18,12,0,115,53.606107,-113.474865
2019-10-31-2690-60,2690,WB 90 Ave between 68 - 71 St,WB 90 Ave between 68 - 71 St,60,10/31/2019 0:00,7.3667,0,0,13,1,1,0,15,53.525279,-113.434153
2019-10-31-2767-50,2767,EB Buena Vista Rd between 142 - 138 St,EB Buena Vista Rd between 142 - 138 St,50,10/31/2019 0:00,12.5,0,0,31,6,1,0,38,53.519325,-113.562628
2019-10-31-2561-50,2561,NB 105 St between 97 - 98 Ave,105 St NB between 97 - 98 Ave,50,10/31/2019 0:00,70,0,127,288,69,38,0,522,53.534823,-113.501077
2019-10-31-4179-30,4179,WB 64 Ave btwn 172-177 St,WB 64 Ave Btwn 172-177 St,30,10/31/2019 0:00,7.3,0,3,7,2,1,0,13,53.500269,-113.62387
2019-10-31-7005-100,7005,EB Yellowhead Trail @ Anthony Henday Dr,EB Yellowhead Trail @ Anthony Henday Dr,100,10/31/2019 0:00,46.7667,0,0,96,216,78,0,390,53.573578,-113.660477
2019-10-31-4039-30,4039,WB 38 Ave W of 55 St - Grand Meadow Cres,WB 38 Ave W of 55 St - Grand Meadow Cres,30,10/31/2019 0:00,2.9333,0,4,12,2,2,0,20,53.472415,-113.425701
2019-10-31-4087-30,4087,WB 37A Ave btwn 23 St - E of 28 St,WB 37A Ave btwn 23 - 28 St,30,10/31/2019 0:00,7,0,14,17,7,4,0,42,53.472516,-113.379138
2019-10-31-2789-50,2789,NB 84 St between 102 - 105 Ave,NB 84 St between 102 - 105 Ave,50,10/31/2019 0:00,3.25,0,0,9,2,0,0,11,53.545533,-113.457136
2019-10-31-4140-30,4140,WB Hermitage Rd btwn Hunt Rd - Huffman Cres,WB Hermitage Rd Btwn Hunt Rd - Huffman Cres,30,10/31/2019 0:00,7.9333,0,12,19,4,3,0,38,53.580839,-113.389264
2019-10-31-2703-50,2703,WB 114 Ave between 46 - 48 St,WB 114 Ave between 46 - 48 St,50,10/31/2019 0:00,5.5167,0,3,4,1,1,0,9,53.566788,-113.41377
2019-10-31-4115-30,4115,NB 76 St btwn 38 Ave south of 40 Ave,NB 76 St btwn 38 Ave south of 40 Ave,30,10/31/2019 0:00,11.75,0,10,28,25,13,0,76,53.474901,-113.450326
2019-10-31-2800-50,2800,EB Whitemud Dr between 76 - 66 St,EB Whitemud Dr between 76 - 66 St,50,10/31/2019 0:00,13.2667,0,16,50,33,49,0,148,53.485009,-113.448167
2019-10-31-4116-30,4116,SB 76 St btwn south of 40 Ave - 38 Ave,SB 76 St btwn south of 40 Ave - 38 Ave,30,10/31/2019 0:00,4,0,1,6,2,5,0,14,53.474901,-113.450326
2019-10-31-4069-30,4069,NB Mill Woods Rd btwn 28 Ave - S of Lakewood Rd N,NB Mill Woods Rd btwn 28 Ave - Lakewood Rd N,30,10/31/2019 0:00,1.6167,0,1,4,1,0,0,6,53.460295,-113.448301
